timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
593370431,32767,32767,32767,32767,-1,32767
593375373,32767,32767,32767,32767,32767,-11
593380313,32767,32767,32767,32767,32767,32767
593385255,32767,32767,32767,32767,32767,32767
593390196,32767,32767,32767,32767,3,32767
593395138,32767,32767,32767,32767,32767,32767
593400079,32767,32767,32767,32767,32767,32767
593405021,32767,32767,32767,32767,32767,32767
593409962,32767,32767,32767,32767,32767,32767
593414907,32767,32767,32767,32767,32767,-30
593419844,32767,32767,32767,32767,32767,32767
593424786,32767,32767,32767,32767,32767,32767
593429727,32767,32767,32767,32767,32767,32767
593434668,32767,32767,32767,-29,32767,32767
593439610,32767,32767,32767,32767,32767,-3
593444551,32767,32767,32767,32767,32767,32767
593449492,32767,32767,32767,32767,32767,32767
593454434,32767,32767,32767,32767,32767,32767
593459375,32767,32767,32767,32767,32767,32767
593464317,32767,32767,32767,32767,32767,32767
593469258,32767,32767,32767,32767,32767,32767
593474199,32767,32767,32767,32767,32767,32767
593479141,32767,32767,32767,-41,32767,32767
593484083,32767,32767,32767,32767,32767,-45
593489024,32767,32767,32767,32767,32767,32767
593493965,32767,32767,32767,32767,32767,32767
593498906,32767,32767,32767,32767,32767,32767
593503848,32767,32767,32767,32767,32767,32767
593508789,32767,32767,32767,32767,32767,32767
593513734,32767,32767,32767,32767,-34,-22
593518672,32767,32767,32767,32767,32767,32767
593523613,32767,32767,32767,32767,32767,32767
593528555,32767,32767,32767,32767,32767,32767
593533496,32767,32767,32767,32767,32767,32767
593538437,32767,32767,32767,32767,32767,32767
593543378,32767,32767,32767,32767,32767,-38
593548319,32767,32767,32767,32767,32767,32767
593553261,32767,32767,32767,32767,-29,32767
593558202,32767,32767,32767,32767,32767,32767
593563144,32767,32767,32767,-15,32767,32767
593568085,32767,32767,32767,32767,32767,32767
593573026,32767,32767,32767,32767,32767,32767
593577968,32767,32767,32767,32767,32767,-3
593582909,32767,32767,32767,32767,32767,32767
593587850,32767,32767,32767,32767,32767,32767
593592792,32767,32767,32767,32767,32767,32767
593597734,32767,32767,32767,32767,32767,32767
593602674,32767,32767,32767,32767,32767,32767
593607616,32767,32767,32767,-24,32767,32767
593612557,32767,32767,32767,32767,32767,-45
593617498,32767,32767,32767,32767,32767,32767
593622440,32767,32767,32767,32767,32767,32767
593627387,32767,32767,32767,32767,32767,32767
593632322,32767,32767,32767,32767,32767,32767
593637270,32767,32767,32767,32767,32767,32767
593642207,32767,32767,32767,32767,32767,-24
593647146,32767,32767,32767,32767,32767,32767
593652088,32767,32767,32767,32767,-17,32767
593657029,32767,32767,32767,32767,32767,32767
593661975,32767,32767,32767,32767,32767,32767
593666917,32767,32767,32767,32767,32767,32767
593671853,32767,32767,32767,32767,32767,32767
593676795,32767,32767,32767,32767,32767,1
593681736,32767,32767,32767,32767,32767,32767
593686677,32767,32767,32767,32767,32767,32767
593691618,32767,32767,32767,0,32767,32767
593696560,32767,32767,32767,32767,32767,32767
593701502,32767,32767,32767,32767,32767,32767
593706443,32767,32767,32767,32767,32767,32767
593711384,32767,32767,32767,32767,32767,32767
593716325,32767,32767,32767,32767,32767,32767
593721266,32767,32767,32767,32767,32767,32767
