timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
595411913,595411410,0.8639827,-2.4970818,-11.217861
595416835,595416419,0.4654234,-2.8356686,-11.65157
595421876,595421426,0.82098657,-2.3314674,-12.281237
595426868,595426433,0.14254507,-1.8103493,-11.300872
595431939,595431442,0.2423668,-1.6810678,-10.874276
595436874,595436450,0.19186403,-1.4431571,-10.114231
595441884,595441458,-0.61378115,-1.6607332,-9.523898
595446891,595446466,-0.1393361,-3.3721356,-9.346707
595451971,595451474,-0.068221726,-2.997028,-11.377335
595456944,595456482,0.6788783,-3.221138,-11.350892
595461958,595461490,0.4475316,-2.5402286,-11.731525
595467052,595466498,0.7765615,-2.7082894,-11.5153885
595471953,595471506,0.41036603,-1.9897468,-11.194068
595482021,595481522,0.32061583,-1.2999133,-9.074053
595486976,595486530,-0.089300305,-1.9995509,-8.303208
595491952,595491538,0.80086416,-2.4096427,-8.117953
595496998,595496547,0.24996434,-3.2526162,-8.212463
595501966,595501554,1.2966882,-2.814869,-9.124541
595506985,595506562,0.95371246,-2.7368877,-9.489886
595512102,595511570,1.948825,-2.477513,-9.532262
595517001,595516578,1.0688453,-2.4000833,-9.802576
595521993,595521586,0.23700878,-1.9774187,-8.774256
595527052,595526594,-0.35452548,-2.8210824,-8.252615
595532078,595531602,-1.1900702,-2.1662962,-9.4739895
595537098,595536610,-0.06849052,-2.3433595,-10.966762
595542043,595541624,-0.13349916,-1.6626638,-11.422841
595547033,595546626,0.4095921,-2.309476,-11.901705
595552155,595551636,-0.5696193,-2.2552183,-11.848211
595557100,595556642,-0.4086125,-3.3842406,-12.297001
595562080,595561650,-1.0214691,-3.3314147,-10.530329
595567151,595566658,-0.5246635,-2.5541034,-9.973397
595572168,595571666,0.27699918,-3.5822334,-8.45799
595577239,595576678,0.925748,-2.652679,-9.7460165
595582088,595581682,1.450979,-2.8604844,-9.733617
595587110,595586690,1.1488955,-1.660425,-9.2572365
595592175,595591698,0.31155327,-2.4814234,-8.415625
595597156,595596706,0.25400642,-1.6465108,-8.463707
595602129,595601714,0.63895786,-2.456203,-7.9382877
595607186,595606723,0.8591234,-2.431134,-7.0824556
595612144,595611731,1.252877,-2.5192971,-8.493821
595617256,595616745,1.3884976,-2.6703305,-9.299891
595622173,595621746,1.5504179,-1.8316287,-10.116823
595627171,595626754,0.3607902,-2.4894028,-9.401845
595632266,595631767,-0.056638367,-1.9568559,-9.04378
595637184,595636770,-0.32186136,-2.361034,-7.8632255
595642289,595641778,1.0878242,-2.4572701,-8.6991625
595647229,595646786,0.48910415,-2.031702,-9.352888
595652303,595651794,0.43431124,-2.039123,-10.115781
595657292,595656802,-0.16632038,-1.4630047,-10.034895
595662296,595661810,-0.8103129,-2.2733266,-9.509749
595667268,595666818,-0.37229103,-3.4119892,-9.257159
595672268,595671831,-0.12964186,-3.1686962,-10.675577
595677309,595676835,0.75609696,-3.6553118,-9.090146
595682274,595681842,0.83670205,-2.625954,-8.770719
595687302,595686859,0.95715815,-3.3453324,-8.960954
595692274,595691858,0.56484336,-2.353558,-10.199062
595697367,595696867,0.48251697,-3.4794447,-9.229687
595702280,595701874,0.17696115,-2.4234025,-8.783353
595707312,595706882,-0.2567818,-4.2344747,-7.6124153
595712300,595711890,0.7699116,-2.7730072,-8.955277
595717378,595716899,0.34220937,-3.570728,-8.776852
595722329,595721906,0.89922154,-2.448824,-10.129494
595727346,595726914,0.51051617,-2.3256192,-10.919343
595732462,595731924,0.30513462,-1.9877135,-12.540717
595737372,595736930,-0.4196383,-2.8365798,-12.207187
595742443,595741938,-0.67131555,-2.3276894,-12.881453
595747375,595746946,-1.1009097,-2.776471,-10.528244
595752557,595751954,-0.9695106,-2.7861102,-10.184983
595757453,595756962,0.4826497,-2.7858002,-10.119036
595762423,595761970,1.0506288,-2.9304962,-10.389101
595767390,595766978,1.5115575,-2.386604,-10.470713
595772439,595771986,1.1308769,-2.4667616,-10.532223
595777482,595776994,0.32968515,-2.324127,-10.979712
595782419,595782002,0.48913205,-1.8729715,-9.704309
595787438,595787011,-0.47024733,-1.2301403,-9.018981
595792444,595792018,-0.25447986,-2.179324,-8.557094
595797458,595797027,-0.14117526,-1.2636662,-10.249736
595802441,595802034,1.2552031,-1.8337185,-10.379968
595807493,595807043,1.2994664,-1.5218186,-9.683155
595812557,595812050,1.7569824,-2.2403295,-8.498013
595817476,595817058,1.0059968,-2.7999365,-6.9994884
595822476,595822066,0.6603636,-3.5473855,-6.53924
595827524,595827074,1.1022382,-3.0538588,-7.700718
595832589,595832083,0.38433933,-3.0912366,-8.496304
595837522,595837090,1.827053,-3.0511994,-10.566624
595842591,595842098,1.1868011,-1.4885461,-11.476962
595847585,595847106,1.2376496,-1.9397144,-10.604642
595852670,595852115,-0.585759,-1.0613834,-10.507736
595857540,595857122,-0.73938537,-2.0010767,-10.229399
595862609,595862130,-0.08368924,-3.3531587,-10.982017
595867548,595867139,1.0845964,-2.86874,-11.554432
595872584,595872146,2.0574574,-3.982368,-10.455059
595877598,595877154,1.7311242,-3.3492908,-10.983883
595882651,595882162,0.4969565,-4.36681,-9.727131
595887604,595887170,0.38017353,-2.5209227,-10.462585
595892582,595892178,-0.042436708,-3.3434718,-9.808589
595897660,595897186,1.138238,-2.5256174,-12.142125
595902603,595902194,0.30899143,-2.729883,-12.819496
595907644,595907202,-1.09873,-1.395393,-12.464167
595912730,595912211,-0.9563967,-2.4857986,-9.810249
595917708,595917218,-0.24500445,-3.3489506,-11.247749
595922659,595922226,2.0262437,-4.525991,-11.146875
595927805,595927234,2.4749138,-3.288917,-10.838864
595932674,595932241,0.9790791,-4.048315,-9.843081
595937712,595937249,-0.19005731,-3.363588,-10.399
595942814,595942257,-0.43893567,-2.3889735,-10.766853
595947709,595947273,1.2221968,-2.9670684,-10.48417
595952746,595952274,-0.02449473,-1.9622815,-10.553447
595957695,595957281,-0.07127764,-2.254532,-11.380677
595962733,595962289,-0.039837368,-1.5358099,-9.511692
595967713,595967297,0.5664037,-1.8018556,-7.3925643
595972740,595972305,1.0257308,-4.3935566,-6.470118
595977796,595977313,2.5417304,-2.2135522,-9.53381
595982851,595982321,2.4128273,-3.046044,-8.341239
595987764,595987329,0.08771534,-1.385022,-8.988269
595992766,595992337,-1.9938759,-2.340479,-9.591606
595997757,595997345,0.73913985,-1.9461246,-11.079007
596002760,596002353,1.6388278,-3.2505684,-10.0245695
596007778,596007361,0.2574971,-3.5315008,-7.732035
