timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
565784250,-0.002760027,-0.004974872,0.0029926924,5008,0,-0.701196,0.21521738,-10.038225,5008,0,0,1,1
565789259,-0.0038482063,-0.0018987213,-0.0017651195,5009,0,-0.6437984,0.08555271,-9.894949,5009,0,0,1,1
565794269,-0.005870905,-0.0033926712,-0.0027973892,5010,0,-0.8280126,0.45188534,-10.050598,5010,0,0,1,1
565804289,0.0024909575,-0.008585221,-0.0016933302,5011,0,-0.711056,0.17136778,-9.883705,5011,0,0,1,1
565809298,0.0013886932,0.007918112,-0.0011129905,5009,0,-1.0105752,0.40692198,-9.685918,5009,0,0,1,1
565814307,0.0013087366,-0.0022385563,-0.0022870556,5009,0,-0.593242,-0.113945335,-10.221503,5009,0,0,1,1
565819325,0.0005569379,-0.003501291,-0.004250691,5018,0,-0.6114987,0.45104343,-10.055839,5018,0,0,1,1
565824326,-0.009896153,0.0015372344,0.002695679,5001,0,-0.94165355,0.13903105,-9.897561,5001,0,0,1,1
565829337,-0.013460099,-0.0033848202,-0.003412107,5011,0,-0.81932986,0.30561268,-10.00237,5011,0,0,1,1
565834347,-0.006777373,-0.00683396,0.0057958625,5010,0,-0.58356446,0.0993567,-9.982822,5010,0,0,1,1
565839358,-0.016425487,0.0011012374,0.0015250329,5011,0,-0.98323065,0.3827612,-9.883798,5011,0,0,1,1
565844365,-0.008101232,-0.0014103304,0.002748944,5007,0,-0.7370286,0.30012697,-9.866,5007,0,0,1,1
565849374,-0.0062937774,0.0011408249,0.0009886895,5009,0,-0.52154905,0.1338706,-10.129756,5009,0,0,1,1
565854384,-0.0067299027,-0.0038611405,0.00049225095,5010,0,-0.7677408,0.35164553,-10.115878,5010,0,0,1,1
565859394,0.0039103413,0.0053963442,-0.0029369025,5010,0,-0.8839683,-0.0045248778,-9.8983345,5010,0,0,1,1
565864403,-0.0019041209,-0.0035437264,-0.00045728276,5009,0,-0.57868165,0.31175968,-9.925356,5009,0,0,1,1
565869413,0.0037309467,-0.00071729225,-0.0036360342,5010,0,-0.8958708,0.09875959,-10.023707,5010,0,0,1,1
565874423,-0.0026844777,0.00501555,-0.002222218,5010,0,-0.8099293,0.18260366,-9.963315,5010,0,0,1,1
565879434,0.0014582026,0.005440954,0.0024668584,5011,0,-0.3432889,0.21646205,-9.894554,5011,0,0,1,1
565884442,-0.009250576,-0.009050694,0.0024607969,5008,0,-0.86282146,0.23725224,-9.907379,5008,0,0,1,1
565889451,-0.008485944,0.003977243,0.0016853614,5009,0,-0.94877875,0.24787268,-10.060139,5009,0,0,1,1
565894461,-0.009062018,0.0001056808,0.0047674677,5010,0,-0.66854835,0.19497405,-9.793386,5010,0,0,1,1
565899471,-0.011508478,-0.0057254215,-4.00554e-05,5010,0,-0.64736944,0.32851285,-10.019594,5010,0,0,1,1
565904480,-0.011434498,-0.00449427,0.0014899508,5009,0,-0.8705116,0.26625633,-9.969518,5009,0,0,1,1
565909490,-0.0077618384,-0.0022031236,0.00045876164,5010,0,-0.4702261,0.021315435,-10.048168,5010,0,0,1,1
565914499,-0.009922778,-0.0168719,-0.0009375125,5009,0,-0.9041387,0.2990141,-9.844058,5009,0,0,1,1
565919509,0.0072878147,0.007973904,-0.008738042,5010,0,-0.8969155,0.16918278,-10.039684,5010,0,0,1,1
